professor,noun,3,single,feminine,(physical-object animate),(teacher single masculine),,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pasta,noun,3,single,feminine,(physical-object tangible inanimate),(dossier single),,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rua,noun,3,single,feminine,(physical-location),(street single),,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bolo,noun,3,single,masculine,(physical-object tangible inanimate),(cake single),,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mae,noun,3,single,feminine,(physical-location animate),(mother single),,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
historia,noun,3,single,feminine,(abstract-concept intangible),(history single),,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dose,noun,3,single,feminine,(abstract-concept intangible),(amount single),,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
professora,noun,3,single,feminine,(physical-object animate),(teacher single feminine),,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ana,noun,3,single,feminine,(physical-object animate),(person ana single),,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
compras,noun,3,plural,feminine,(physical-object tangible inanimate),(bought-object plural),,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
joao,noun,3,single,masculine,(physical-object animate),(person joao single),,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
alunos,noun,3,plural,masculine,(physical-object animate),(student plural masculine),,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
